,US,Germany,Italy,Russia,Iran,Spain,France,United Kingdom,Brazil
108,2255328.0,188604.0,235763,666941.0,184955.0,245268.0,195433.0,276990.0,1368195.0
109,2281767.0,189817.0,236142,673564.0,187427.0,245575.0,195900.0,277974.0,1402041.0
110,2312303.0,190299.0,236305,680283.0,189876.0,245938.0,196711.0,278640.0,1448753.0
111,2347491.0,190670.0,236651,686852.0,192439.0,246272.0,197352.0,279264.0,1496858.0
112,2382426.0,191272.0,236989,693215.0,195051.0,246504.0,197636.0,280156.0,1539081.0
113,2422299.0,191768.0,237290,699749.0,197647.0,246752.0,198009.0,281038.0,1577004.0
114,2467554.0,192480.0,237500,706240.0,200262.0,247086.0,198526.0,281815.0,1603055.0
115,2510259.0,192871.0,237828,712863.0,202584.0,247486.0,198607.0,282512.0,1623284.0
116,2549294.0,193371.0,238159,719449.0,204952.0,247905.0,198607.0,283151.0,1668589.0
117,2590668.0,194036.0,238011,726036.0,207525.0,248469.0,200195.0,283785.0,1713160.0
118,2636414.0,194458.0,238275,732547.0,209970.0,248770.0,200195.0,284192.0,1755779.0
119,2687588.0,194693.0,238499,738787.0,212501.0,248970.0,199476.0,284812.0,1800827.0
120,2742049.0,195042.0,238720,745197.0,215096.0,249271.0,201522.0,285216.0,1839850.0
121,2795361.0,195418.0,238833,,217724.0,249659.0,202063.0,285279.0,1864681.0
122,2841241.0,195893.0,239410,,220180.0,250103.0,202981.0,285285.0,1884967.0
123,2891124.0,196370.0,239706,,222669.0,250545.0,203640.0,285787.0,1926824.0
124,2936077.0,196780.0,239961,,225205.0,250545.0,204222.0,286412.0,1966748.0
125,2996098.0,197198.0,240136,,227662.0,250545.0,204222.0,286931.0,
126,3054699.0,197523.0,240310,,230211.0,251789.0,204222.0,287290.0,
127,3117946.0,198064.0,240436,,232863.0,252130.0,205597.0,287874.0,
128,3184573.0,198343.0,240578,,235429.0,252513.0,206072.0,288511.0,
129,3245925.0,198699.0,240760,,237878.0,253056.0,206072.0,289154.0,
130,3304942.0,199001.0,240961,,240438.0,253908.0,207356.0,289678.0,
131,3364157.0,199332.0,241184,,243051.0,253908.0,208015.0,290504.0,
132,3431574.0,199709.0,241419,,245688.0,253908.0,208015.0,291154.0,
